symbol,name,nameUpperCase
AUB.AX,Austbrokers Holdings Limited,AUSTBROKERS HOLDINGS LIMITED
GLRE,"Greenlight Capital Re, Ltd.","GREENLIGHT CAPITAL RE, LTD."
SFG,StanCorp Financial Group Inc.,STANCORP FINANCIAL GROUP INC.
AMIC,American Independence Corp.,AMERICAN INDEPENDENCE CORP.
GTS,Triple-S Management Corporation,TRIPLE-S MANAGEMENT CORPORATION
LRE.L,Lancashire Holdings Limited,LANCASHIRE HOLDINGS LIMITED
EIG,"Employers Holdings, Inc.","EMPLOYERS HOLDINGS, INC."
AIZ,Assurant Inc.,ASSURANT INC.
NHF.AX,NIB Holdings Limited,NIB HOLDINGS LIMITED
PRA,ProAssurance Corporation,PROASSURANCE CORPORATION
TRUP,"Trupanion, Inc.","TRUPANION, INC."
AFL,AFLAC Inc.,AFLAC INC.
MIC.TO,Genworth MI Canada Inc.,GENWORTH MI CANADA INC.
CNO,"CNO Financial Group, Inc.","CNO FINANCIAL GROUP, INC."
UNM,Unum Group,UNUM GROUP
FAC,First Acceptance Corp.,FIRST ACCEPTANCE CORP.
SCRI,"Social Reality, Inc.","SOCIAL REALITY, INC."
DCS.MU,JC DECAUX,JC DECAUX
XM8.F,CLEAR MEDIA,CLEAR MEDIA
XBTC,Xhibit Corp.,XHIBIT CORP.
VISN,VisionChina Media Inc.,VISIONCHINA MEDIA INC.
QXQ.AX,Q Limited,Q LIMITED
VEND,"Fresh Healthy Vending International, Inc.","FRESH HEALTHY VENDING INTERNATIONAL, INC."
DNAX,"DNA Brands, Inc.","DNA BRANDS, INC."
IPG,"The Interpublic Group of Companies, Inc.","THE INTERPUBLIC GROUP OF COMPANIES, INC."
YUME,"YuMe, Inc.","YUME, INC."
PUB.PA,Publicis Groupe SA,PUBLICIS GROUPE SA
MSHF,"MediaShift, Inc.","MEDIASHIFT, INC."
SAX.BE,STROEER MEDIA,STROEER MEDIA
TRS.L,Tarsus Group plc,TARSUS GROUP PLC
IDI,"Tiger Media, Inc.","TIGER MEDIA, INC."
CL2.SG,CYBERAGENT,CYBERAGENT
XM8.SG,CLEAR MEDIA,CLEAR MEDIA
0205.HK,SEEC MEDIA,SEEC MEDIA
DEN.DU,DENTSU,DENTSU
RVUE,"rVue Holdings, Inc.","RVUE HOLDINGS, INC."
PHRM.L,Phorm Corporation Limited,PHORM CORPORATION LIMITED
RLOC,"ReachLocal, Inc.","REACHLOCAL, INC."
DCS.SG,JC DECAUX,JC DECAUX
OMC,Omnicom Group Inc.,OMNICOM GROUP INC.
DEC.PA,JCDecaux SA,JCDECAUX SA
CNET,"ChinaNet Online Holdings, Inc.","CHINANET ONLINE HOLDINGS, INC."
FUEL,Rocket Fuel Inc.,ROCKET FUEL INC.
NMED,"New Media Insight Group, Inc.","NEW MEDIA INSIGHT GROUP, INC."
SZMK,Sizmek Inc.,SIZMEK INC.
SPN.V,Snipp Interactive Inc.,SNIPP INTERACTIVE INC.
KITM,Kitara Media Corp.,KITARA MEDIA CORP.
WPP.L,WPP plc,WPP PLC
Y07.SI,Global Yellow Pages Limited,GLOBAL YELLOW PAGES LIMITED
ZCNV.PA,Zodiac Aerospace,ZODIAC AEROSPACE
NOC,Northrop Grumman Corporation,NORTHROP GRUMMAN CORPORATION
MTX.DE,MTU Aero Engines AG,MTU AERO ENGINES AG
RTN1.SG,RAYTHEON,RAYTHEON
EAD.DE,Airbus Group N.V.,AIRBUS GROUP N.V.
QY6.SG,QINETIQ GROUP,QINETIQ GROUP
NTH.BE,NORTHROP GRUMMAN,NORTHROP GRUMMAN
EAD.PA,Airbus Group N.V.,AIRBUS GROUP N.V.
SWS.SG,SMITH & WESSON HLDG,SMITH & WESSON HLDG
EOS.AX,Electro Optic Systems Holdings Limited,ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED
MAL.TO,Magellan Aerospace Corp.,MAGELLAN AEROSPACE CORP.
BA.L,BAE Systems plc,BAE SYSTEMS PLC
RR.L,Rolls Royce Holdings plc,ROLLS ROYCE HOLDINGS PLC
UEH.F,ULTRA ELEC HLDGS,ULTRA ELEC HLDGS
NTH.DU,NORTHROP GRUMMAN,NORTHROP GRUMMAN
MTX.F,MTU AERO ENGINES N,MTU AERO ENGINES N
ZC.PA,Zodiac Aerospace,ZODIAC AEROSPACE
ZDC.BE,ZODIAC AEROSPACE,ZODIAC AEROSPACE
QQ.L,QinetiQ Group Plc,QINETIQ GROUP PLC
S51.SI,Sembcorp Marine Ltd,SEMBCORP MARINE LTD
EMRI,EMRISE Corporation,EMRISE CORPORATION
EAC,Erickson Incorporated,ERICKSON INCORPORATED
SDZ.V,Security Devices International Inc.,SECURITY DEVICES INTERNATIONAL INC.
QHL.AX,Quickstep Holdings Limited,QUICKSTEP HOLDINGS LIMITED
TIK,Tel-Instrument Electronics Corp.,TEL-INSTRUMENT ELECTRONICS CORP.
B8O.F,YANGZIJIANG SHIPBLD,YANGZIJIANG SHIPBLD
SDSS,Suspect Detection Systems Inc.,SUSPECT DETECTION SYSTEMS INC.
ZDC.F,ZODIAC AEROSPACE,ZODIAC AEROSPACE
GDX.DU,GENL DYNAMICS CORP,GENL DYNAMICS CORP
LAT.PA,"LatÇ¸coÇùre S.A.
","LATÇ¸COÇÙRE S.A.
"
A04.SI,ASL Marine Holdings Ltd.,ASL MARINE HOLDINGS LTD.
S63.SI,Singapore Technologies Engineering Ltd,SINGAPORE TECHNOLOGIES ENGINEERING LTD
SAF.PA,Safran SA,SAFRAN SA
MGGT.L,Meggitt PLC,MEGGITT PLC
SNR.L,Senior plc,SENIOR PLC
ZDC.DU,ZODIAC AEROSPACE,ZODIAC AEROSPACE
TXT,Textron Inc.,TEXTRON INC.
BBD-B.TO,Bombardier Inc.,BOMBARDIER INC.
GY,GenCorp Inc.,GENCORP INC.
SWS.BE,SMITH & WESSON HLDG,SMITH & WESSON HLDG
HXL.PA,Hexcel Corp.,HEXCEL CORP.
ZDC.MU,ZODIAC AEROSPACE,ZODIAC AEROSPACE
MICT,"Micronet Enertec Technologies, Inc.","MICRONET ENERTEC TECHNOLOGIES, INC."
FTG.TO,Firan Technology Group Corporation,FIRAN TECHNOLOGY GROUP CORPORATION
BS6.SI,Yangzijiang Shipbuilding (Holdings) Ltd.,YANGZIJIANG SHIPBUILDING (HOLDINGS) LTD.
ERJ,Embraer SA,EMBRAER SA
TPAC,"Trans-Pacific Aerospace Company, Inc.","TRANS-PACIFIC AEROSPACE COMPANY, INC."
COL,Rockwell Collins Inc.,ROCKWELL COLLINS INC.
TGI,"Triumph Group, Inc.","TRIUMPH GROUP, INC."
